x, y, z
0.148182, -0.064538, -0.010920
0.148319, -0.064223, -0.010684
0.148455, -0.063907, -0.010449
0.148591, -0.063591, -0.010213
0.148726, -0.063274, -0.009978
0.148995, -0.062639, -0.009511
0.149261, -0.062001, -0.009049
0.149525, -0.061361, -0.008590
0.149788, -0.060718, -0.008135
0.150048, -0.060073, -0.007684
0.150305, -0.059425, -0.007236
0.150561, -0.058775, -0.006793
0.150814, -0.058122, -0.006354
0.151065, -0.057466, -0.005920
0.151314, -0.056808, -0.005490
0.151560, -0.056147, -0.005064
0.151805, -0.055483, -0.004643
0.152047, -0.054817, -0.004226
0.152286, -0.054147, -0.003816
0.152524, -0.053474, -0.003410
0.152759, -0.052799, -0.003010
0.152992, -0.052120, -0.002616
0.153223, -0.051438, -0.002228
0.153451, -0.050753, -0.001846
0.153677, -0.050064, -0.001472
0.153901, -0.049371, -0.001104
0.154122, -0.048675, -0.000743
0.154342, -0.047976, -0.000389
0.154558, -0.047273, -0.000042
0.154773, -0.046566, 0.000298
0.154985, -0.045856, 0.000630
0.155194, -0.045141, 0.000954
0.155402, -0.044422, 0.001268
0.155607, -0.043698, 0.001572
0.155809, -0.042970, 0.001867
0.156010, -0.042238, 0.002154
0.156207, -0.041502, 0.002433
0.156401, -0.040763, 0.002705
0.156593, -0.040020, 0.002971
0.156782, -0.039273, 0.003227
0.156969, -0.038520, 0.003471
0.157153, -0.037761, 0.003698
0.157336, -0.036992, 0.003905
0.157517, -0.036215, 0.004089
0.157696, -0.035426, 0.004247
0.157873, -0.034629, 0.004382
0.158048, -0.033820, 0.004491
0.158222, -0.032999, 0.004569
0.158394, -0.032164, 0.004612
0.158564, -0.031312, 0.004612
0.158650, -0.030876, 0.004588
0.158736, -0.030431, 0.004539
0.158823, -0.029972, 0.004454
0.158913, -0.029490, 0.004310
0.158988, -0.029084, 0.004142
0.159026, -0.028876, 0.004044
0.159065, -0.028658, 0.003920
0.159087, -0.028539, 0.003831
0.159099, -0.028472, 0.003767
0.159105, -0.028434, 0.003721
0.159115, -0.028381, 0.003640
0.159123, -0.028333, 0.003456
0.159123, -0.028334, 0.003401
0.159121, -0.028344, 0.003315
0.159115, -0.028380, 0.003184
0.159098, -0.028475, 0.002983
0.159078, -0.028585, 0.002823
0.159033, -0.028836, 0.002581
0.158971, -0.029175, 0.002347
0.158907, -0.029520, 0.002129
0.158842, -0.029870, 0.001926
0.158775, -0.030227, 0.001739
0.158635, -0.030951, 0.001398
0.158491, -0.031681, 0.001072
0.158342, -0.032415, 0.000758
0.158190, -0.033152, 0.000457
0.158033, -0.033893, 0.000165
0.157871, -0.034636, -0.000118
0.157706, -0.035381, -0.000395
0.157537, -0.036126, -0.000667
0.157364, -0.036873, -0.000934
0.157187, -0.037620, -0.001199
0.157007, -0.038366, -0.001462
0.156822, -0.039112, -0.001724
0.156635, -0.039857, -0.001987
0.156444, -0.040601, -0.002250
0.156249, -0.041344, -0.002514
0.156051, -0.042085, -0.002777
0.155849, -0.042826, -0.003041
0.155644, -0.043566, -0.003305
0.155435, -0.044305, -0.003568
0.155223, -0.045043, -0.003831
0.155007, -0.045780, -0.004095
0.154788, -0.046516, -0.004358
0.154565, -0.047251, -0.004621
0.154339, -0.047985, -0.004885
0.154109, -0.048717, -0.005148
0.153876, -0.049449, -0.005412
0.153639, -0.050180, -0.005675
0.153399, -0.050909, -0.005938
0.153156, -0.051637, -0.006202
0.152909, -0.052364, -0.006465
0.152658, -0.053090, -0.006729
0.152404, -0.053815, -0.006992
0.152147, -0.054538, -0.007256
0.151886, -0.055260, -0.007519
0.151622, -0.055981, -0.007782
0.151354, -0.056701, -0.008046
0.151083, -0.057420, -0.008309
0.150807, -0.058140, -0.008563
0.150529, -0.058856, -0.008825
0.150247, -0.059571, -0.009087
0.149962, -0.060285, -0.009349
0.149674, -0.060997, -0.009611
0.149382, -0.061708, -0.009873
0.149087, -0.062418, -0.010135
0.148789, -0.063126, -0.010397
0.148638, -0.063480, -0.010528
0.148487, -0.063833, -0.010659
0.148335, -0.064186, -0.010790
0.148182, -0.064538, -0.010920
