x, y, z
0.262842, -0.180836, -0.074311
0.263927, -0.179249, -0.072929
0.265513, -0.176891, -0.070891
0.267561, -0.173779, -0.068227
0.269795, -0.170289, -0.065272
0.272042, -0.166677, -0.062247
0.274251, -0.163017, -0.059221
0.276414, -0.159321, -0.056206
0.278529, -0.155594, -0.053205
0.280593, -0.151840, -0.050226
0.282607, -0.148057, -0.047273
0.284573, -0.144244, -0.044347
0.286490, -0.140396, -0.041450
0.288361, -0.136513, -0.038583
0.290184, -0.132593, -0.035745
0.291960, -0.128635, -0.032938
0.293688, -0.124639, -0.030163
0.295366, -0.120609, -0.027410
0.296993, -0.116547, -0.024676
0.298569, -0.112448, -0.021977
0.300094, -0.108313, -0.019315
0.301567, -0.104140, -0.016691
0.302987, -0.099932, -0.014107
0.304354, -0.095688, -0.011564
0.305667, -0.091409, -0.009064
0.306924, -0.087095, -0.006609
0.308125, -0.082746, -0.004200
0.309268, -0.078364, -0.001841
0.310354, -0.073948, 0.000469
0.311380, -0.069500, 0.002726
0.312346, -0.065020, 0.004927
0.313252, -0.060509, 0.007072
0.314095, -0.055968, 0.009156
0.314875, -0.051399, 0.011177
0.315590, -0.046803, 0.013132
0.316242, -0.042180, 0.015019
0.316827, -0.037534, 0.016832
0.317345, -0.032864, 0.018569
0.317796, -0.028175, 0.020226
0.318178, -0.023467, 0.021798
0.318491, -0.018744, 0.023280
0.318734, -0.014009, 0.024667
0.318908, -0.009264, 0.025953
0.319010, -0.004516, 0.027132
0.319042, 0.000227, 0.028196
0.319004, 0.004956, 0.029134
0.318896, 0.009663, 0.029937
0.318720, 0.014336, 0.030592
0.318478, 0.018960, 0.031086
0.318174, 0.023513, 0.031405
0.317814, 0.027962, 0.031532
0.317407, 0.032259, 0.031452
0.316968, 0.036322, 0.031153
0.316522, 0.040024, 0.030642
0.316103, 0.043206, 0.029963
0.315743, 0.045763, 0.029194
0.315453, 0.047718, 0.028408
0.315228, 0.049183, 0.027644
0.315055, 0.050279, 0.026908
0.314925, 0.051091, 0.026189
0.314831, 0.051665, 0.025470
0.314773, 0.052017, 0.024741
0.314748, 0.052170, 0.023931
0.314763, 0.052081, 0.023031
0.314822, 0.051721, 0.022068
0.314927, 0.051076, 0.021035
0.315083, 0.050104, 0.019880
0.315303, 0.048700, 0.018531
0.315605, 0.046705, 0.016904
0.315996, 0.043984, 0.014966
0.316452, 0.040573, 0.012786
0.316927, 0.036675, 0.010496
0.317384, 0.032488, 0.008190
0.317800, 0.028130, 0.005909
0.318163, 0.023661, 0.003665
0.318469, 0.019112, 0.001460
0.318712, 0.014504, -0.000709
0.318890, 0.009849, -0.002842
0.319000, 0.005156, -0.004944
0.319042, 0.000431, -0.007015
0.319013, -0.004320, -0.009059
0.318913, -0.009091, -0.011076
0.318740, -0.013880, -0.013068
0.318494, -0.018684, -0.015038
0.318175, -0.023500, -0.016986
0.317782, -0.028324, -0.018913
0.317315, -0.033154, -0.020820
0.316772, -0.037989, -0.022709
0.316155, -0.042826, -0.024581
0.315462, -0.047664, -0.026435
0.314693, -0.052500, -0.028275
0.313848, -0.057333, -0.030099
0.312928, -0.062160, -0.031909
0.311932, -0.066977, -0.033704
0.310861, -0.071784, -0.035484
0.309715, -0.076579, -0.037248
0.308493, -0.081362, -0.038998
0.307196, -0.086132, -0.040734
0.305823, -0.090887, -0.042456
0.304374, -0.095625, -0.044164
0.302851, -0.100346, -0.045858
0.301252, -0.105048, -0.047539
0.299578, -0.109730, -0.049208
0.297829, -0.114392, -0.050865
0.296005, -0.119033, -0.052510
0.294105, -0.123653, -0.054147
0.292130, -0.128249, -0.055776
0.290080, -0.132820, -0.057399
0.287981, -0.137313, -0.059151
0.285791, -0.141814, -0.060788
0.283531, -0.146281, -0.062418
0.281199, -0.150715, -0.064041
0.278795, -0.155117, -0.065659
0.276317, -0.159489, -0.067276
0.273773, -0.163817, -0.068891
0.271176, -0.168082, -0.070501
0.268581, -0.172198, -0.072072
0.266193, -0.175866, -0.073486
0.264338, -0.178642, -0.074562
0.263068, -0.180508, -0.075288
